scheme_name,short_description,category,scheme_type,state,eligibility,official_url
"National Programme for Prevention and Control of Non-Communicable Diseases (NP-NCD)","Provides screening, early diagnosis, and free treatment for hypertension, diabetes, and common cancers (oral, breast, and cervical) at primary and secondary healthcare levels.","Disease Control","Central Scheme","All India","All adult citizens aged 30 years and above undergoing population-based NCD screening at Ayushman Arogya Mandirs and community centers.","https://main.mohfw.gov.in/major-programmes/non-communicable-diseases-injury-trauma/non-communicable-disease"
"Mission Indradhanush / Universal Immunization Programme (UIP)","Provides free vaccination against 12 vaccine-preventable life-threatening diseases for pregnant women and children across India.","Immunization","Central Scheme","All India","All children up to 2 years of age and pregnant women who have missed or dropped out from routine immunization schedules.","https://nhm.gov.in/index1.php?lang=1&level=2&sublinkid=823&lid=219"
"Ayushman Bharat Digital Mission (ABDM / ABHA)","Enables citizens to create a 14-digit digital health ID (ABHA) to securely store, manage, and share electronic health records and diagnostic reports with doctors.","Public Health","Central Scheme","All India","Available to all citizens of India holding a valid Aadhaar card or mobile number.","https://abdm.gov.in"
"Central Government Health Scheme (CGHS)","Provides comprehensive medical care and outpatient/inpatient coverage to central government employees, pensioners, and their recognized dependents.","Health Insurance","Central Scheme","All India","Serving Central Government employees, pensioners, sitting and ex-Members of Parliament, and other eligible categories specified by MoHFW.","https://cghs.nic.in"
"Ex-Servicemen Contributory Health Scheme (ECHS)","Provides comprehensive all-inclusive healthcare and cashless treatment to retired Armed Forces personnel and their eligible dependants through polyclinics and empanelled hospitals.","Senior Citizens","Central Scheme","All India","Ex-servicemen pensioners from Army, Navy, Air Force, and their legally recognized dependants.","https://echs.gov.in"
"National Mental Health Programme (NMHP) & Tele-MANAS","Provides round-the-clock free mental health counseling, psychiatric tele-consultation, and treatment support across all Indian states and Union Territories.","Mental Health","Central Scheme","All India","Open to all individuals, students, youth, and families seeking psychological first-aid, stress management, or mental health support via toll-free helpline 14416.","https://telemanas.mohfw.gov.in"
"National AIDS and STD Control Programme (NACP)","Provides free HIV screening, counseling, antiretroviral therapy (ART), and viral load testing across public ART centres and link centers nationwide.","Disease Control","Central Scheme","All India","All individuals seeking HIV testing, prevention services, or undergoing anti-retroviral treatment across NACO-designated health facilities.","https://naco.gov.in"
"National Programme for Health Care of the Elderly (NPHCE)","Dedicated healthcare program providing accessible, specialized, and comprehensive geriatric care at primary, district, and regional super-specialty levels.","Senior Citizens","Central Scheme","All India","Senior citizens aged 60 years and above seeking preventive, curative, and rehabilitative geriatric medical care.","https://main.mohfw.gov.in/Major-Programmes/Non-Communicable-Diseases-Injury-Trauma/National-Programme-for-Health-Care-of-the-Elderly-NPHCE"
"National Programme for Prevention and Control of Deafness (NPPCD)","Aims to prevent hearing loss, provide early screening for hearing impairments, and distribute free hearing aids and cochlear implants to eligible beneficiaries.","Disability Health Support","Central Scheme","All India","Persons with hearing impairment and children diagnosed with congenital or acquired hearing loss at public health screening centers.","https://main.mohfw.gov.in/major-programmes/non-communicable-diseases-injury-trauma/national-programme-for-prevention-and-control-of-deafness-nppcd"
"PM Ayushman Bharat Health Infrastructure Mission (PM-ABHIM)","Strengthens grassroots public health infrastructure, critical care hospital blocks, disease surveillance networks, and diagnostic laboratories across India.","Public Health","Central Scheme","All India","Strengthens public healthcare systems; benefits all citizens accessing district public hospitals, block public health units, and diagnostic labs.","https://pmabhim.mohfw.gov.in"
"Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY)","Cashless health insurance coverage of up to Rs. 5 lakh per family per year for identified surgical and medical procedures in Maharashtra.","Health Insurance","State Scheme","Maharashtra","Families holding Yellow/Orange/White ration cards, Antyodaya Anna Yojana (AAY), or Annapurna cards residing in Maharashtra.","https://www.jeevandayee.gov.in"
"Mukhyamantri Amrutum (MA) & MA Vatsalya Yojana","Provides cashless medical and surgical treatment coverage of up to Rs. 5 lakh per family per year for catastrophic illnesses in Gujarat.","Health Insurance","State Scheme","Gujarat","Families with annual family income up to Rs. 4 lakh, BPL families, accredited journalists, and senior citizens residing in Gujarat.","https://magujarat.com"
"Chief Minister's Comprehensive Health Insurance Scheme (CMCHIS)","Provides cashless hospitalisation coverage of up to Rs. 5 lakh per family per year for secondary and tertiary care in Tamil Nadu.","Health Insurance","State Scheme","Tamil Nadu","Resident families of Tamil Nadu whose annual household income is below the prescribed threshold (Rs. 1.20 lakh/year) and Sri Lankan refugees.","https://www.cmchistn.com"
"Dr. YSR Aarogyasri Health Scheme","Provides cashless healthcare and tertiary inpatient medical treatment for serious ailments to poor and lower-middle-class families in Andhra Pradesh.","Health Insurance","State Scheme","Andhra Pradesh","Families holding Dr. YSR Aarogyasri health cards or White ration cards with annual family income up to Rs. 5 lakh in Andhra Pradesh.","https://aarogyasri.ap.gov.in"
"Biju Swasthya Kalyan Yojana (BSKY)","Universal health coverage providing cashless medical treatment of up to Rs. 5 lakh per family (and Rs. 10 lakh for women members) per year in Odisha.","Health Insurance","State Scheme","Odisha","All BSKY smart health card holders, NFSA card holders, and SFSS card holders residing in Odisha.","https://bsky.odisha.gov.in"
"Mukhyamantri Chiranjeevi Swasthya Bima Yojana / Ayushman Rajasthan","Provides universal health insurance coverage for cashless hospitalization across empanelled government and private hospitals in Rajasthan.","Health Insurance","State Scheme","Rajasthan","All permanent resident families of Rajasthan (free for NFSA, SECC, small/marginal farmers, and subsidized for other families).","https://chiranjeevi.rajasthan.gov.in"
"Karunya Arogya Suraksha Padhathi (KASP)","Integrated health insurance scheme providing cashless secondary and tertiary hospitalization coverage of Rs. 5 lakh per family per year in Kerala.","Health Insurance","State Scheme","Kerala","Poor and vulnerable families enrolled under PM-JAY and state priority beneficiary lists in Kerala.","https://sha.kerala.gov.in/karunya-arogya-suraksha-padhathi"
"Ayushman Bharat - Mukhyamantri Jan Arogya Yojana (UP-MMJAY)","Provides cashless treatment cover of up to Rs. 5 lakh per family per year for eligible families left out from SECC 2011 lists in Uttar Pradesh.","Health Insurance","State Scheme","Uttar Pradesh","Eligible Antyodaya card holders, registered construction workers, and vulnerable families residing in Uttar Pradesh.","https://sacchu.up.gov.in"
"Deen Dayal Swasthya Seva Yojana (DDSSY)","Provides cashless hospitalization and surgical treatment coverage up to Rs. 4 lakh for families residing in Goa for over 5 years.","Health Insurance","State Scheme","Goa","Any permanent resident family residing in the State of Goa for 5 years or more.","https://goa.gov.in/departments/health-services"
"Mukhyamantri Amrit Yojana / Ayushman MP","Provides financial assistance and cashless medical care for serious illnesses and emergency hospital care in Madhya Pradesh.","Health Insurance","State Scheme","Madhya Pradesh","BPL card holders, Sambal card holders, and vulnerable families residing in Madhya Pradesh.","https://ayushmanmp.in"
"Delhi Arogya Kosh (DAK) & Delhi Arogya Nidhi","Provides financial assistance of up to Rs. 5 lakh for treatment of life-threatening diseases, surgeries, and high-end diagnostic tests in Delhi.","Treatment & Medical Assistance","State Scheme","Delhi","Permanent residents of the National Capital Territory of Delhi with annual family income up to Rs. 3 lakh holding valid voter ID.","https://delhi.gov.in/department/health-and-family-welfare"
"Arogya Karnataka / Ayushman Bharat-Arogya Karnataka (ArK)","Universal health coverage initiative providing cashless and subsidized treatment at public health institutions and empanelled private hospitals in Karnataka.","Health Insurance","State Scheme","Karnataka","Eligible BPL (Priority Households) and APL (Non-priority) resident families of Karnataka.","https://arogya.karnataka.gov.in"
"Atal Amrit Abhiyan","Provides cashless medical treatment of up to Rs. 2 lakh per individual per year for 6 critical disease categories in Assam.","Treatment & Medical Assistance","State Scheme","Assam","Families with annual income below Rs. 5 lakh residing in Assam; covering cardiovascular, cancer, kidney, neonatal, burns, and neurological disorders.","https://atalamritabhiyan.assam.gov.in"
"Swasthya Sathi Scheme","Provides universal health insurance coverage of up to Rs. 5 lakh per family per year with smart card issued in the name of the female head of the family in West Bengal.","Health Insurance","State Scheme","West Bengal","All permanent resident families of West Bengal not covered under any other statutory government health scheme.","https://swasthyasathi.gov.in"
